,Unnamed: 0,Unnamed: 0.1,sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
0,0,0,1,1,67.0,1,91.0,1,1,58.0,2,0,55.0,1,58.8,1,270000.0
1,1,1,2,1,79.33,0,78.33,1,2,77.48,2,1,86.5,0,66.28,1,200000.0
2,2,2,3,1,65.0,0,68.0,0,0,64.0,0,0,75.0,0,57.8,1,250000.0
3,3,3,4,1,56.0,0,52.0,0,2,52.0,2,0,66.0,1,59.43,0,
4,4,4,5,1,85.8,0,73.6,0,1,73.3,0,0,96.8,0,55.5,1,425000.0
5,5,5,6,1,55.0,1,49.8,1,2,67.25,2,1,55.0,0,51.58,0,
6,6,6,7,0,46.0,1,49.2,1,1,79.0,0,0,74.28,0,53.29,0,
7,7,7,8,1,82.0,0,64.0,0,2,66.0,2,1,67.0,0,62.14,1,252000.0
8,8,8,9,1,73.0,0,79.0,0,1,72.0,0,0,91.34,0,61.29,1,231000.0
9,9,9,10,1,58.0,0,70.0,0,1,61.0,0,0,54.0,0,52.21,0,
10,10,10,11,1,58.0,0,61.0,0,1,60.0,0,1,62.0,1,60.85,1,260000.0
11,11,11,12,1,69.6,0,68.4,0,1,78.3,0,1,60.0,0,63.7,1,250000.0
12,12,12,13,0,47.0,0,55.0,1,2,65.0,0,0,62.0,1,65.04,0,
13,13,13,14,0,77.0,0,87.0,0,1,59.0,0,0,68.0,0,68.63,1,218000.0
14,14,14,15,1,62.0,0,47.0,0,1,50.0,0,0,76.0,1,54.96,0,
15,15,15,16,0,65.0,0,75.0,0,1,69.0,0,1,72.0,0,64.66,1,200000.0
16,16,16,17,1,63.0,0,66.2,0,1,65.6,0,1,60.0,0,62.54,1,300000.0
17,17,17,18,0,55.0,0,67.0,0,1,64.0,0,0,60.0,0,67.28,0,
18,18,18,19,0,63.0,0,66.0,0,1,64.0,0,0,68.0,1,64.08,0,
19,19,19,20,1,60.0,1,67.0,1,0,70.0,0,1,50.48,0,77.89,1,236000.0
20,20,20,21,1,62.0,1,65.0,1,1,66.0,0,0,50.0,1,56.7,1,265000.0
21,21,21,22,0,79.0,1,76.0,1,1,85.0,0,0,95.0,0,69.06,1,393000.0
22,22,22,23,0,69.8,1,60.8,1,2,72.23,2,0,55.53,1,68.81,1,360000.0
23,23,23,24,0,77.4,1,60.0,1,2,64.74,2,1,92.0,0,63.62,1,300000.0
24,24,24,25,1,76.5,1,97.7,1,2,78.86,2,0,97.4,0,74.01,1,360000.0
25,25,25,26,0,52.58,1,54.6,0,1,50.2,0,1,76.0,0,65.33,0,
26,26,26,27,1,71.0,1,79.0,1,1,66.0,0,1,94.0,0,57.55,1,240000.0
27,27,27,28,1,63.0,1,67.0,1,1,66.0,0,0,68.0,1,57.69,1,265000.0
28,28,28,29,1,76.76,1,76.5,1,1,67.5,0,1,73.35,0,64.15,1,350000.0
29,29,29,30,1,62.0,0,67.0,0,1,58.0,0,0,77.0,0,51.29,0,
30,30,30,31,0,64.0,0,73.5,0,1,73.0,0,0,52.0,1,56.7,1,250000.0
31,31,31,32,0,67.0,0,53.0,0,2,65.0,2,0,64.0,1,58.32,0,
32,32,32,33,0,61.0,0,81.0,0,1,66.4,0,0,50.89,1,62.21,1,278000.0
33,33,33,34,0,87.0,1,65.0,1,2,81.0,0,1,88.0,0,72.78,1,260000.0
34,34,34,35,1,62.0,1,51.0,1,2,52.0,1,0,68.44,1,62.77,0,
35,35,35,36,0,69.0,0,78.0,0,1,72.0,0,0,71.0,1,62.74,1,300000.0
36,36,36,37,1,51.0,0,44.0,0,1,57.0,0,0,64.0,0,51.45,0,
37,37,37,38,0,79.0,0,76.0,0,2,65.6,2,0,58.0,1,55.47,1,320000.0
38,38,38,39,0,73.0,1,58.0,1,2,66.0,0,0,53.7,1,56.86,1,240000.0
39,39,39,40,1,81.0,1,68.0,1,2,64.0,2,0,93.0,0,62.56,1,411000.0
40,40,40,41,0,78.0,0,77.0,1,1,80.0,0,0,60.0,0,66.72,1,287000.0
41,41,41,42,0,74.0,1,63.16,1,1,65.0,0,1,65.0,1,69.76,0,
42,42,42,43,1,49.0,1,39.0,0,2,65.0,1,0,63.0,0,51.21,0,
43,43,43,44,1,87.0,1,87.0,1,1,68.0,0,0,95.0,1,62.9,1,300000.0
44,44,44,45,0,77.0,1,73.0,1,1,81.0,0,1,89.0,0,69.7,1,200000.0
45,45,45,46,0,76.0,0,64.0,0,2,72.0,2,0,58.0,1,66.53,0,
46,46,46,47,0,70.89,1,71.98,1,2,65.6,0,0,68.0,1,71.63,0,
47,47,47,48,1,63.0,0,60.0,0,1,57.0,0,1,78.0,0,54.55,1,204000.0
48,48,48,49,1,63.0,1,62.0,1,1,68.0,0,0,64.0,0,62.46,1,250000.0
49,49,49,50,0,50.0,1,37.0,1,0,52.0,1,0,65.0,1,56.11,0,
50,50,50,51,0,75.2,0,73.2,0,2,68.4,0,0,65.0,1,62.98,1,200000.0
